metric,mean,topic,agent_type,ideology,topic2,Agent Type,model
TTR-1,0.12465846994535519,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
HDD-1,0.7876643388141785,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
TTR-2,0.34023464458247066,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
HDD-2,0.9387318409716995,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
TTR-3,0.4811715481171548,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
HDD-3,0.9603740158767697,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
TTR-4,0.569415081042988,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
HDD-4,0.970771114848633,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
TTR-5,0.6371082621082621,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
HDD-5,0.9787540258061325,Abortion,default,conservative,Abortion,Non-Plurals,claude-sonnet
TTR-1,0.12028218694885362,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
HDD-1,0.7769027210392893,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
TTR-2,0.33832442067736185,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
HDD-2,0.9318785935231679,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
TTR-3,0.47855855855855856,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
HDD-3,0.9541672186642682,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
TTR-4,0.5693989071038251,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
HDD-4,0.9648612742261293,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
TTR-5,0.6349907918968692,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
HDD-5,0.9730802539357388,Abortion,default,liberal,Abortion,Non-Plurals,claude-sonnet
TTR-1,0.14794007490636704,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
HDD-1,0.8014465810529093,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
TTR-2,0.43194706994328924,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
HDD-2,0.9594831164770347,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
TTR-3,0.5998727735368957,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
HDD-3,0.9790343678364964,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
TTR-4,0.7010276172125883,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
HDD-4,0.9861704398447637,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
TTR-5,0.7746433203631647,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
HDD-5,0.9908540795127496,Abortion,persona,conservative,Abortion,Plurals ANES Persona,claude-sonnet
TTR-1,0.1329036218538981,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
HDD-1,0.804024246658744,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
TTR-2,0.38011152416356875,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
HDD-2,0.9592645508780956,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
TTR-3,0.5212632895559725,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
HDD-3,0.9753283308136247,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
TTR-4,0.6171085858585859,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
HDD-4,0.9824657699086605,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
TTR-5,0.6873804971319312,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
HDD-5,0.9866893398908492,Abortion,persona,liberal,Abortion,Plurals ANES Persona,claude-sonnet
TTR-1,0.10907924286172602,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,claude-sonnet
HDD-1,0.7512231239270493,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,claude-sonnet
TTR-2,0.3197278911564626,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,claude-sonnet
HDD-2,0.9345595099618105,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,claude-sonnet
TTR-3,0.46189074255806345,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,claude-sonnet
HDD-3,0.9675227087944198,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,claude-sonnet
