uid,condition,loop_merge_idx,unique_case_condition,unique_case,duration,age,gender,ideo,educ,commit,choice,clean_choice,correct,clean_condition
R_1QS2X3JK4grmPCL,rational,5,5_rational,5,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_1QS2X3JK4grmPCL,rational,8,8_rational,8,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_1QS2X3JK4grmPCL,rational,9,9_rational,9,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_1QS2X3JK4grmPCL,rational,10,10_rational,10,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_1QS2X3JK4grmPCL,rational,11,11_rational,11,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_1QS2X3JK4grmPCL,rational,15,15_rational,15,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_1QS2X3JK4grmPCL,rational,18,18_rational,18,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_1QS2X3JK4grmPCL,rational,19,19_rational,19,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_1QS2X3JK4grmPCL,rational,23,23_rational,23,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_1QS2X3JK4grmPCL,rational,25,25_rational,25,6.316666666666666,25 to 34,Female,Liberal,4-year college degree,"Yes, I will",${lm://Field/4},emotional,False,Rational
R_3efTipsHLDH8Z1S,rational,2,2_rational,2,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3efTipsHLDH8Z1S,rational,6,6_rational,6,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3efTipsHLDH8Z1S,rational,11,11_rational,11,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3efTipsHLDH8Z1S,rational,15,15_rational,15,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3efTipsHLDH8Z1S,rational,17,17_rational,17,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3efTipsHLDH8Z1S,rational,18,18_rational,18,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3efTipsHLDH8Z1S,rational,19,19_rational,19,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3efTipsHLDH8Z1S,rational,25,25_rational,25,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3efTipsHLDH8Z1S,rational,26,26_rational,26,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_3efTipsHLDH8Z1S,rational,30,30_rational,30,4.766666666666667,25 to 34,Female,Very liberal,Postgraduate degree,"Yes, I will",${lm://Field/3},rational,True,Rational
R_29fw49TK3pK9ip3,rational,3,3_rational,3,3.95,25 to 34,Male,Not sure,4-year college degree,"Yes, I will",${lm://Field/3},rational,True,Rational
