metric,mean,topic,agent_type,ideology,topic2,Agent Type,model
TTR-1,0.1373040752351097,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
HDD-1,0.7672968501001818,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
TTR-2,0.4158227848101266,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
HDD-2,0.9568251957767706,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
TTR-3,0.6047923322683706,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
HDD-3,0.9798147958104981,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
TTR-4,0.7164516129032258,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
HDD-4,0.9870279008511594,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
TTR-5,0.7892508143322475,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
HDD-5,0.9913543640373529,Abortion,default,conservative,Abortion,Non-Plurals,gpt-4o
TTR-1,0.11384615384615385,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
HDD-1,0.7757449026734009,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
TTR-2,0.3440993788819876,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
HDD-2,0.9537666689921891,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
TTR-3,0.5228840125391849,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
HDD-3,0.9736342953759431,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
TTR-4,0.644620253164557,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
HDD-4,0.9826133482386084,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
TTR-5,0.7319488817891374,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
HDD-5,0.9879831567710716,Abortion,default,liberal,Abortion,Non-Plurals,gpt-4o
TTR-1,0.1514854717597127,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
HDD-1,0.7951981638403649,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
TTR-2,0.442466205077481,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
HDD-2,0.9654339707262088,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
TTR-3,0.6366966366966367,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
HDD-3,0.9858336805876867,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
TTR-4,0.7595021863437605,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
HDD-4,0.9925653640614709,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
TTR-5,0.837580699966021,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
HDD-5,0.9956572280951872,Abortion,persona,conservative,Abortion,Plurals ANES Persona,gpt-4o
TTR-1,0.13719711853307137,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
HDD-1,0.7844854762588638,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
TTR-2,0.41865079365079366,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
HDD-2,0.9575413266781979,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
TTR-3,0.5955243820975283,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
HDD-3,0.9783984124738533,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
TTR-4,0.701417004048583,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
HDD-4,0.9875750435315388,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
TTR-5,0.7767552828902522,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
HDD-5,0.9919372352961286,Abortion,persona,liberal,Abortion,Plurals ANES Persona,gpt-4o
TTR-1,0.1271393643031785,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
HDD-1,0.776793217033366,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
TTR-2,0.41178285009253546,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
HDD-2,0.9547910873140176,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
TTR-3,0.5958904109589042,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
HDD-3,0.9775863491877955,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
TTR-4,0.7127592708988058,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
HDD-4,0.9858539007616296,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
TTR-5,0.7915609137055838,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
HDD-5,0.9910404193368807,Gay Marriage,default,conservative,Gay Marriage,Non-Plurals,gpt-4o
TTR-1,0.10505359877488514,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
HDD-1,0.7480333235566069,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
TTR-2,0.33075734157650694,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
HDD-2,0.9394499573310551,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
TTR-3,0.4995319812792512,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
HDD-3,0.9646244066909875,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
TTR-4,0.6047244094488189,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
HDD-4,0.9737603622545192,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
TTR-5,0.6845786963434022,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
HDD-5,0.9795073262009834,Gay Marriage,default,liberal,Gay Marriage,Non-Plurals,gpt-4o
TTR-1,0.145203679369251,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-1,0.7933626177681471,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-2,0.46051758460517583,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-2,0.9638124358301616,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-3,0.6484584450402144,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-3,0.9821276590774001,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-4,0.7566012186865267,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-4,0.9881715756699735,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-5,0.8218194254445964,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-5,0.991511006384143,Gay Marriage,persona,conservative,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-1,0.1330188679245283,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-1,0.758365183141083,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-2,0.38603174603174606,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-2,0.9347582170576741,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-3,0.5461538461538461,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-3,0.9594561846565315,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-4,0.643042071197411,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-4,0.9683449564478647,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-5,0.704248366013072,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
HDD-5,0.9746749650357166,Gay Marriage,persona,liberal,Gay Marriage,Plurals ANES Persona,gpt-4o
TTR-1,0.1366810774858663,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
HDD-1,0.8104035588226085,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
TTR-2,0.3745381256298287,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
HDD-2,0.9412831286074973,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
TTR-3,0.5337631489650492,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
HDD-3,0.9608030253441234,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
TTR-4,0.6324991429550908,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
HDD-4,0.9692121807548494,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
TTR-5,0.6962244544509871,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
HDD-5,0.9741848249505235,Gun Control,default,conservative,Gun Control,Non-Plurals,gpt-4o
TTR-1,0.12188006482982172,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
HDD-1,0.7942703910117509,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
TTR-2,0.3315875613747954,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
HDD-2,0.9290171425638694,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
TTR-3,0.46710743801652893,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
HDD-3,0.9482438948747713,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
TTR-4,0.5599332220367279,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
HDD-4,0.957376332412258,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
TTR-5,0.6256323777403036,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
HDD-5,0.9626963704841516,Gun Control,default,liberal,Gun Control,Non-Plurals,gpt-4o
TTR-1,0.15634415801807833,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
HDD-1,0.828554887528678,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
TTR-2,0.46060196144741294,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
HDD-2,0.9672635553277318,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
TTR-3,0.640245985650837,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
HDD-3,0.984419873286099,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
TTR-4,0.74283741801864,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
HDD-4,0.9905695539259394,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
TTR-5,0.807813044994768,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
HDD-5,0.9937866893812195,Gun Control,persona,conservative,Gun Control,Plurals ANES Persona,gpt-4o
TTR-1,0.14895666131621188,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
HDD-1,0.826291864191465,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
TTR-2,0.41750405186385736,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
HDD-2,0.9574391964368456,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
TTR-3,0.5901800327332242,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
HDD-3,0.9751990294371048,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
TTR-4,0.6968595041322314,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
HDD-4,0.9829512056132873,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
TTR-5,0.7676126878130217,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
HDD-5,0.9872558751702704,Gun Control,persona,liberal,Gun Control,Plurals ANES Persona,gpt-4o
TTR-1,0.13573573573573575,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
HDD-1,0.7752348236882551,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
TTR-2,0.39181818181818184,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
HDD-2,0.9545314676654897,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
TTR-3,0.5688073394495413,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
HDD-3,0.9769629791208424,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
TTR-4,0.667283950617284,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
HDD-4,0.9835921028952594,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
TTR-5,0.7386292834890966,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
HDD-5,0.9873979437150469,LGBT Adoption Rights,default,conservative,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
TTR-1,0.10545236668663871,LGBT Adoption Rights,default,liberal,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
HDD-1,0.7589353176803717,LGBT Adoption Rights,default,liberal,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
TTR-2,0.2950423216444982,LGBT Adoption Rights,default,liberal,"LGBT Adoption
Rights",Non-Plurals,gpt-4o
