state,type,title,url,description,subject,is_valid_url,is_state,is_valid
Alabama,LRCA,Amendment 1,"https://ballotpedia.org/Alabama_Amendment_1,_Exempt_Local_Bills_from_Budget_Isolation_Resolution_Amendment_(March_2024)",Exempt local laws or local constitutional amendments from the budget isolation resolution process,,1,1,1
Alabama,LRCA,"Allow Franklin County Board of Education to Manage, Sell, or Lease Land in the Franklin County School System Amendment","https://ballotpedia.org/Alabama_Allow_Franklin_County_Board_of_Education_to_Manage,_Sell,_or_Lease_Land_in_the_Franklin_County_School_System_Amendment_(2024)","Allow the Franklin County Board of Education to manage, sell, or lease lands or natural resources from the lands within in the Franklin County School System located in Walker and Fayette County",,1,1,1
Alaska,IndISS,Minimum Wage Increase and Paid Sick Leave Initiative,https://ballotpedia.org/Alaska_Minimum_Wage_Increase_and_Paid_Sick_Leave_Initiative_(2024),Increase the minimum wage to $15 per hour and require employers to provide paid sick leave,,1,1,1
Alaska,IndISS,Repeal Top-Four Ranked-Choice Voting Initiative,https://ballotpedia.org/Alaska_Repeal_Top-Four_Ranked-Choice_Voting_Initiative_(2024),Repeal the top-four ranked-choice voting (RCV) system that was adopted in 2020,,1,1,1
Arizona,LRCA,Proposition 133,"https://ballotpedia.org/Arizona_Proposition_133,_Require_Partisan_Primaries_and_Prohibit_Primaries_Where_Candidates_Compete_Regardless_of_Party_Affiliation_Amendment_(2024)",Require partisan primary elections for partisan offices,,1,1,1
Arizona,LRCA,Proposition 134,"https://ballotpedia.org/Arizona_Proposition_134,_Signature_Distribution_Requirement_for_Initiatives_Amendment_(2024)",Create a signature distribution requirement for citizen-initiated ballot measures based on state legislative districts,,1,1,1
Arizona,LRCA,Proposition 135,"https://ballotpedia.org/Arizona_Proposition_135,_Emergency_Declarations_Amendment_(2024)","Provide for the legislature to terminate a state of emergency or alter the emergency powers of the governor during the state of emergency, and provide for any emergency powers granted to the governor to automatically terminate 30 days after the state of emergency is proclaimed, unless the state legislature extends the emergency powers granted to the governor, and except in cases for a state of war emergency or an emergency arising from a flood or a fire",,1,1,1
Arizona,LRCA,Proposition 136,"https://ballotpedia.org/Arizona_Proposition_136,_Legal_Challenges_to_Constitutionality_of_Initiatives_Amendment_(2024)",Provide for challenges to an initiative measure or constitutional amendment after the filing of the measure with the secretary of state,,1,1,1
Arizona,LRCA,Proposition 137,"https://ballotpedia.org/Arizona_Proposition_137,_End_Term_Limits_and_Retention_Elections_for_Supreme_Court_Justices_and_Superior_Court_Judges_Amendment_(2024)","End term limits for state supreme court justices and superior court judges, replacing them with terms of good behavior, unless decided otherwise by a judicial review commission, and would end retention elections at the end of the judicial term, providing for retention elections under certain circumstances",,1,1,1
Arizona,LRCA,Proposition 138,"https://ballotpedia.org/Arizona_Proposition_138,_Wages_for_Tipped_Workers_Amendment_(2024)",Allow for tipped workers to be paid 25% less per hour than the minimum wage if any tips received by the employee were not less than the minimum wage plus $2 for all hours worked,,1,1,1
Arizona,CICA,Proposition 139,"https://ballotpedia.org/Arizona_Proposition_139,_Right_to_Abortion_Initiative_(2024)",Establish a state constitutional right to abortion,,1,1,1
Arizona,LRSS,Proposition 311,"https://ballotpedia.org/Arizona_Proposition_311,_Criminal_Conviction_Fee_for_First_Responder_Death_Financial_Benefit_Measure_(2024)","Establish a $20 fee on every conviction for a criminal offense, which would go to pay a benefit of $250,000 to the family of a first responder who is killed in the line of duty",,1,1,1
Arizona,LRSS,Proposition 312,"https://ballotpedia.org/Arizona_Proposition_312,_Property_Tax_Refund_for_Non-Enforcement_of_Public_Nuisance_Laws_Measure_(2024)","Allow for property owners to apply for a property tax refund in certain circumstances, including in instances if the city or locality in which the property is located does not enforce laws regarding illegal camping, loitering, obstructing public thoroughfares, panhandling, public urination or defecation, public consumption of alcoholic beverages, and possession or use of illegal substances",,1,1,1
Arizona,LRSS,Proposition 313,"https://ballotpedia.org/Arizona_Proposition_313,_Life_Imprisonment_for_Sex_Trafficking_of_a_Child_Measure_(2024)",Provide for life imprisonment for an individual who is convicted of sex trafficking of a child,,1,1,1
